price,rating,refresh_rate,screen_size,ram,storage
1286.64,3.5,165,7.2,16,128
728.52,4.6,90,6.1,4,64
1086.68,3.4,60,6.2,12,64
1158.78,3.5,120,7.1,6,128
1656.05,4.9,165,6.1,8,512
390.46,4.4,165,6.5,12,512
1172.46,3.2,120,6.5,8,256
1770.77,3.3,165,5.5,8,1024
492.29,3.7,90,7.4,4,256
730.09,4.2,144,6.1,16,128
268.58,4.3,144,7.2,8,512
391.77,4.1,165,5.5,6,256
748.54,4.3,144,6.7,8,256
1640.5,4.7,120,7.0,12,1024
1913.91,3.8,144,6.8,12,512
886.08,3.0,60,5.4,12,256
581.44,3.8,60,5.8,4,256
1414.63,3.1,144,5.7,6,64
1101.51,4.9,60,5.1,12,64
185.01,4.1,90,5.6,4,512
797.35,4.4,120,5.2,16,64
558.68,3.2,144,6.7,6,512
778.17,4.7,165,6.5,16,64
1825.52,4.5,165,5.7,16,256
1653.37,3.1,165,5.3,4,64
487.23,4.1,120,6.9,12,128
317.76,3.7,165,5.9,12,64
927.02,3.4,144,6.8,16,64
654.33,4.6,90,5.9,16,256
1314.08,4.0,120,5.0,16,128
1083.16,3.6,144,6.4,8,128
416.02,3.6,90,7.4,4,1024
387.24,3.3,60,6.0,6,128
1920.96,3.6,120,5.3,6,1024
478.34,3.7,90,6.4,6,512
1635.89,4.1,144,5.7,4,64
1228.51,3.3,165,6.8,16,64
1133.07,3.0,90,6.9,8,128
1044.34,3.3,90,5.6,4,128
1082.71,4.2,90,7.2,16,1024
1493.94,4.1,60,5.2,12,128
374.88,3.6,60,7.0,16,256
1167.08,3.2,60,6.2,8,256
1796.07,4.6,165,6.1,4,64
173.42,3.3,144,7.2,6,64
1202.67,4.8,120,6.0,12,256
1313.92,4.8,120,6.3,6,1024
1211.09,4.7,120,7.1,4,128
1553.44,4.8,60,7.4,8,64
1855.7,3.6,60,5.3,6,256
852.84,4.1,120,6.4,16,256
1887.01,4.1,120,5.5,8,512
1873.9,4.8,165,5.8,4,1024
1871.97,4.2,60,5.7,16,512
1530.19,3.5,90,6.6,6,64
1665.95,4.4,90,6.9,4,256
916.99,3.7,165,7.2,4,1024
452.58,4.9,165,6.5,8,256
836.61,4.1,60,6.2,12,512
1031.37,4.6,60,6.7,6,256
1519.29,3.6,60,7.5,16,256
598.71,3.7,60,7.3,4,512
505.55,5.0,144,5.7,6,128
697.14,3.9,144,6.8,4,128
496.04,4.0,144,7.5,4,64
313.87,3.5,144,7.3,4,512
1226.04,4.6,90,7.2,16,256
1378.52,3.5,144,6.5,6,512
1319.81,4.7,165,6.4,4,256
1670.75,4.7,120,5.0,4,1024
1176.92,3.9,165,5.2,8,512
864.69,4.5,144,5.8,16,512
1511.65,4.6,120,5.7,4,512
1070.43,3.9,165,5.2,8,128
1580.76,3.7,60,5.7,8,64
1873.06,4.3,165,7.3,4,64
304.41,4.8,165,5.0,16,256
1279.05,4.5,165,6.6,16,128
160.34,4.4,144,5.7,4,128
1361.32,4.8,120,6.6,6,64
1746.33,4.4,90,5.5,4,128
1997.29,3.8,144,5.4,6,64
513.13,3.3,144,6.0,16,256
968.21,3.9,165,7.3,8,256
370.53,4.1,144,5.5,6,512
1439.69,4.5,165,6.3,6,512
1618.54,3.4,90,5.9,8,512
1583.7,4.3,144,7.1,6,1024
1241.34,3.5,120,6.9,4,64
452.05,3.6,60,5.7,8,128
675.37,4.2,60,5.7,6,256
905.84,3.3,165,6.5,6,64
281.01,4.4,90,6.3,6,64
168.83,3.5,120,5.1,16,512
258.74,3.9,90,5.2,16,512
817.78,4.1,60,7.2,4,1024
1833.86,3.9,60,5.7,8,512
1584.31,3.6,120,5.8,8,1024
1797.36,4.3,60,6.7,6,128
943.42,4.7,120,6.3,4,1024
1016.64,3.5,60,7.4,8,256
199.39,4.5,60,5.9,4,64
205.12,4.1,120,5.2,4,256
1947.56,3.8,60,6.2,12,64
703.84,3.8,120,7.1,8,256
965.51,4.7,144,5.5,12,128
1341.02,3.8,90,7.2,6,1024
604.13,3.4,60,6.4,16,64
1629.14,3.5,120,5.7,16,512
177.3,3.1,165,6.3,8,64
800.5,3.9,120,6.0,4,512
393.91,4.0,120,5.3,16,128
244.95,3.7,144,6.6,12,128
208.38,4.8,120,7.5,16,128
973.02,4.0,60,7.4,12,256
757.37,3.3,60,6.5,6,256
1366.6,3.8,144,7.0,4,256
1669.78,4.9,144,7.4,4,1024
235.83,3.7,90,6.4,6,128
1241.63,3.1,120,5.5,8,512
1370.53,4.7,144,5.5,8,1024
808.01,4.9,90,5.7,12,256
638.44,3.1,120,5.1,12,64
1507.33,3.8,144,7.2,16,128
310.32,3.4,90,5.3,12,512
1875.91,4.2,120,6.8,16,1024
511.75,4.2,165,6.8,4,256
1826.2,3.5,144,5.6,12,256
1710.58,4.0,120,5.2,8,64
1787.41,4.5,120,7.2,6,256
717.74,4.7,144,5.5,4,128
1674.28,4.4,90,6.9,8,256
426.5,3.5,120,6.8,16,128
532.12,4.8,120,5.7,16,128
1521.57,3.3,120,6.2,4,64
345.48,3.7,120,6.5,8,512
389.71,3.9,90,6.4,6,64
1209.77,3.7,60,6.1,8,64
1983.75,4.1,144,6.6,8,128
211.38,3.2,144,7.4,6,256
1667.89,3.9,90,7.5,6,1024
1463.59,3.3,144,5.8,16,64
585.12,4.4,165,5.4,16,1024
1589.14,3.1,144,7.4,4,1024
639.01,3.8,60,5.9,8,64
1473.58,4.4,165,7.0,4,1024
1310.35,3.8,165,7.0,12,1024
1797.97,4.6,60,5.4,6,1024
1985.54,4.4,60,7.0,12,256
1731.03,3.5,120,7.4,6,1024
249.07,4.4,165,6.3,8,64
1476.59,3.7,60,5.0,8,1024
1337.34,4.1,60,7.0,16,1024
518.6,4.7,120,6.3,4,1024
1121.85,4.5,165,6.0,4,128
1527.62,4.3,60,7.3,16,128
1834.74,3.2,120,7.4,8,512
1779.08,4.4,120,5.6,12,1024
262.12,3.6,90,7.3,6,1024
1869.95,3.2,165,6.1,6,256
906.87,3.6,60,5.5,16,256
471.71,4.9,165,7.2,16,128
964.0,3.7,165,7.2,16,512
710.19,3.5,90,6.6,16,1024
582.86,4.5,120,5.8,8,128
1079.84,4.0,165,7.4,4,256
1751.29,4.3,120,5.1,8,128
905.83,3.3,90,7.0,8,128
1996.83,3.9,165,5.8,6,128
1387.59,3.1,60,6.2,16,512
1779.24,3.6,165,7.2,8,128
722.16,3.7,60,6.4,8,256
1413.31,4.2,165,5.8,12,256
848.09,3.3,60,7.4,12,256
1628.15,3.1,144,6.7,4,1024
1548.42,4.3,120,6.2,16,128
1615.1,5.0,90,7.3,16,64
1841.88,3.6,90,7.1,16,128
212.23,4.2,144,7.1,16,1024
1791.43,3.9,120,7.1,8,256
320.06,4.9,60,5.5,12,512
1064.69,3.3,165,7.1,8,128
566.39,4.1,165,6.3,4,128
394.98,3.9,120,6.7,12,512
743.86,4.8,120,7.4,4,1024
478.4,4.4,60,6.2,6,512
1114.83,3.3,165,5.6,8,256
219.81,4.5,90,7.4,6,256
1556.26,4.4,120,5.0,6,1024
859.12,4.0,144,5.1,6,64
966.88,4.8,165,6.0,12,64
1432.15,4.4,60,6.5,6,64
555.27,3.2,165,6.8,4,512
151.93,3.3,144,6.9,4,1024
843.73,3.3,60,7.2,4,256
946.6,4.0,120,6.0,4,128
1908.01,3.6,90,6.5,4,512
455.93,4.9,60,6.2,4,256
849.31,4.2,165,6.7,16,1024
